Subject,Age_Month,Stimuli,Types,Correct,Repeated,Group,VMA,Raven,Sex
Subject 2 ASD subjects,106,40,Structural,VRAI,0,ASD subjects,80-91,127,M
Subject 3 ASD subjects,115,1,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,2,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,3,Lexical,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,4,Structural,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,5,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,6,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,7,Lexical,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,8,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,9,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,10,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,11,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,12,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,13,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,14,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,16,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,17,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,18,Factive,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,19,Lexical,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,20,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,21,Existential,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,22,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,23,Lexical,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,24,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,25,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,26,Factive,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,27,Lexical,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,28,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,29,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,30,Factive,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,31,Lexical,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,33,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,34,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,35,Factive,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,36,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,37,Existential,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,38,Factive,FAUX,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,39,Lexical,VRAI,0,ASD subjects,92-103,86,M
Subject 3 ASD subjects,115,40,Structural,VRAI,0,ASD subjects,92-103,86,M
Subject 4 ASD subjects,116,1,Existential,VRAI,1,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,2,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,3,Lexical,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,4,Structural,FAUX,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,5,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,6,Factive,FAUX,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,7,Lexical,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,8,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,9,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,10,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,11,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,12,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,13,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,14,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,16,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,17,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,18,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,19,Lexical,FAUX,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,20,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,21,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,22,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,23,Lexical,FAUX,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,24,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,25,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,26,Factive,FAUX,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,27,Lexical,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,28,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,29,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,30,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,31,Lexical,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,33,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,34,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,35,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,36,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,37,Existential,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,38,Factive,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,39,Lexical,VRAI,0,ASD subjects,92-103,112,F
Subject 4 ASD subjects,116,40,Structural,VRAI,0,ASD subjects,92-103,112,F
Subject 5 ASD subjects,109,1,Existential,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,2,Factive,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,3,Lexical,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,4,Structural,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,5,Existential,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,6,Factive,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,7,Lexical,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,8,Structural,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,9,Existential,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,10,Factive,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,11,Factive,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,12,Structural,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,13,Existential,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,14,Factive,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,16,Structural,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,17,Existential,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,18,Factive,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,19,Lexical,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,20,Structural,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,21,Existential,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,22,Factive,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,23,Lexical,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,24,Structural,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,25,Existential,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,26,Factive,FAUX,1,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,27,Lexical,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,28,Structural,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,29,Existential,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,30,Factive,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,31,Lexical,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,33,Existential,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,34,Factive,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,35,Factive,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,36,Structural,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,37,Existential,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,38,Factive,FAUX,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,39,Lexical,VRAI,0,ASD subjects,80-91,128,F
Subject 5 ASD subjects,109,40,Structural,VRAI,0,ASD subjects,80-91,128,F
Subject 6 ASD subjects,136,1,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,2,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,3,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,4,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,5,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,6,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,7,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,8,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,9,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,10,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,11,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,12,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,13,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,14,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,16,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,17,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,18,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,19,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,20,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,21,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,22,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,23,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,24,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,25,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,26,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,27,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,28,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,29,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,30,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,31,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,33,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,34,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,35,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,36,Structural,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,37,Existential,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,38,Factive,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,39,Lexical,VRAI,0,ASD subjects,116-127,87,M
Subject 6 ASD subjects,136,40,Structural,FAUX,0,ASD subjects,116-127,87,M
Subject 7 ASD subjects,171,1,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,2,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,3,Lexical,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,4,Structural,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,5,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,6,Factive,FAUX,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,7,Lexical,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,8,Structural,VRAI,1,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,9,Existential,FAUX,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,10,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,11,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,12,Structural,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,13,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,14,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,16,Structural,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,17,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,18,Factive,VRAI,1,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,19,Lexical,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,20,Structural,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,21,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,22,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,23,Lexical,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,24,Structural,FAUX,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,25,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,26,Factive,FAUX,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,27,Lexical,FAUX,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,28,Structural,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,29,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,30,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,31,Lexical,FAUX,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,33,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,34,Factive,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,35,Factive,VRAI,1,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,36,Structural,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,37,Existential,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,38,Factive,VRAI,1,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,39,Lexical,VRAI,0,ASD subjects,128-144,70,M
Subject 7 ASD subjects,171,40,Structural,FAUX,0,ASD subjects,128-144,70,M
Subject 8 ASD subjects,101,1,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,2,Factive,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,3,Lexical,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,4,Structural,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,5,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,6,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,7,Lexical,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,8,Structural,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,9,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,10,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,11,Factive,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,12,Structural,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,13,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,14,Factive,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,16,Structural,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,17,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,18,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,19,Lexical,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,20,Structural,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,21,Existential,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,22,Factive,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,23,Lexical,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,24,Structural,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,25,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,26,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,27,Lexical,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,28,Structural,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,29,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,30,Factive,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,31,Lexical,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,33,Existential,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,34,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,35,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,36,Structural,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,37,Existential,FAUX,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,38,Factive,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,39,Lexical,VRAI,0,ASD subjects,80-91,91,M
Subject 8 ASD subjects,101,40,Structural,VRAI,0,ASD subjects,80-91,91,M
Subject 9 ASD subjects,123,1,Existential,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,2,Factive,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,3,Lexical,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,4,Structural,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,5,Existential,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,6,Factive,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,7,Lexical,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,8,Structural,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,9,Existential,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,10,Factive,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,11,Factive,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,12,Structural,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,13,Existential,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,14,Factive,FAUX,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,16,Structural,FAUX,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,17,Existential,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,18,Factive,VRAI,0,ASD subjects,128-144,82,M
Subject 9 ASD subjects,123,19,Lexical,VRAI,0,ASD subjects,128-144,82,M
